CustomerID	CustomerName	ContactName	Address	City	PostalCode	Country	
1 	AlfredsFutterkiste 	MariaAnders 	ObereStr.57 	Berlin 	12209 	Germany 	AlfMObe1220@gmail.com
2 	AnaTrujilloEmparedadosyhelados 	AnaTrujillo 	Avda.delaConstitución2222 	MéxicoD.F. 	05021 	Mexico 	AnaAAvd0502@gmail.com
3 	AntonioMorenoTaquería 	AntonioMoreno 	Mataderos2312 	MéxicoD.F. 	05023 	Mexico 	AntAMat0502@gmail.com
4 	AroundtheHorn 	ThomasHardy 	120HanoverSq. 	London 	WA11DP 	UK 	AroT120WA11@gmail.com
5 	Berglundssnabbköp 	ChristinaBerglund 	Berguvsvägen8 	Luleå 	S-95822 	Sweden 	BerCBerS-95@gmail.com
6 	BlauerSeeDelikatessen 	HannaMoos 	Forsterstr.57 	Mannheim 	68306 	Germany 	BlaHFor6830@gmail.com
7 	Blondelpèreetfils 	FrédériqueCiteaux 	24,placeKléber 	Strasbourg 	67000 	France 	BloF24,6700@gmail.com
8 	BólidoComidaspreparadas 	MartínSommer 	C/Araquil,67 	Madrid 	28023 	Spain 	BólMC/A2802@gmail.com
9 	Bonapp' 	LaurenceLebihans 	12,ruedesBouchers 	Marseille 	13008 	France 	BonL12,1300@gmail.com
10 	Bottom-DollarMarketse 	ElizabethLincoln 	23TsawassenBlvd. 	Tsawassen 	T2F8M4 	Canada 	BotE23TT2F8@gmail.com
11 	B'sBeverages 	VictoriaAshworth 	FauntleroyCircus 	London 	EC25NT 	UK 	B'sVFauEC25@gmail.com
12 	CactusComidasparallevar 	PatricioSimpson 	Cerrito333 	BuenosAires 	1010 	Argentina 	CacPCer1010@gmail.com
13 	CentrocomercialMoctezuma 	FranciscoChang 	SierrasdeGranada9993 	MéxicoD.F. 	05022 	Mexico 	CenFSie0502@gmail.com
14 	Chop-sueyChinese 	YangWang 	Hauptstr.29 	Bern 	3012 	Switzerland 	ChoYHau3012@gmail.com
15 	ComércioMineiro 	PedroAfonso 	Av.dosLusíadas,23 	SãoPaulo 	05432-043 	Brazil 	ComPAv.0543@gmail.com
16 	ConsolidatedHoldings 	ElizabethBrown 	BerkeleyGardens12Brewery 	London 	WX16LT 	UK 	ConEBerWX16@gmail.com
17 	DrachenblutDelikatessend 	SvenOttlieb 	Walserweg21 	Aachen 	52066 	Germany 	DraSWal5206@gmail.com
18 	Dumondeentier 	JanineLabrune 	67,ruedesCinquanteOtages 	Nantes 	44000 	France 	DumJ67,4400@gmail.com
19 	EasternConnection 	AnnDevon 	35KingGeorge 	London 	WX36FW 	UK 	EasA35KWX36@gmail.com
20 	ErnstHandel 	RolandMendel 	Kirchgasse6 	Graz 	8010 	Austria 	ErnRKir8010@gmail.com
21 	FamiliaArquibaldo 	AriaCruz 	RuaOrós,92 	SãoPaulo 	05442-030 	Brazil 	FamARua0544@gmail.com
22 	FISSAFabricaInter.SalchichasS.A. 	DiegoRoel 	C/Moralzarzal,86 	Madrid 	28034 	Spain 	FISDC/M2803@gmail.com
23 	Foliesgourmandes 	MartineRancé 	184,chausséedeTournai 	Lille 	59000 	France 	FolM1845900@gmail.com
24 	FolkochfäHB 	MariaLarsson 	Åkergatan24 	Bräcke 	S-84467 	Sweden 	FolMÅkeS-84@gmail.com
25 	Frankenversand 	PeterFranken 	BerlinerPlatz43 	München 	80805 	Germany 	FraPBer8080@gmail.com
26 	Francerestauration 	CarineSchmitt 	54,rueRoyale 	Nantes 	44000 	France 	FraC54,4400@gmail.com
27 	FranchiS.p.A. 	PaoloAccorti 	ViaMonteBianco34 	Torino 	10100 	Italy 	FraPVia1010@gmail.com
28 	FuriaBacalhaueFrutosdoMar 	LinoRodriguez 	Jardimdasrosasn.32 	Lisboa 	1675 	Portugal 	FurLJar1675@gmail.com
29 	Galeríadelgastrónomo 	EduardoSaavedra 	RambladeCataluña,23 	Barcelona 	08022 	Spain 	GalERam0802@gmail.com
30 	GodosCocinaTípica 	JoséPedroFreyre 	C/Romero,33 	Sevilla 	41101 	Spain 	GodJC/R4110@gmail.com
31 	GourmetLanchonetes 	AndréFonseca 	Av.Brasil,442 	Campinas 	04876-786 	Brazil 	GouAAv.0487@gmail.com
32 	GreatLakesFoodMarket 	HowardSnyder 	2732BakerBlvd. 	Eugene 	97403 	USA 	GreH2739740@gmail.com
33 	GROSELLA-Restaurante 	ManuelPereira 	5ªAve.LosPalosGrandes 	Caracas 	1081 	Venezuela 	GROM5ªA1081@gmail.com
34 	HanariCarnes 	MarioPontes 	RuadoPaço,67 	RiodeJaneiro 	05454-876 	Brazil 	HanMRua0545@gmail.com
35 	HILARIÓN-Abastos 	CarlosHernández 	Carrera22conAve.CarlosSoublette#8-35 	SanCristóbal 	5022 	Venezuela 	HILCCar5022@gmail.com
36 	HungryCoyoteImportStore 	YoshiLatimer 	CityCenterPlaza516MainSt. 	Elgin 	97827 	USA 	HunYCit9782@gmail.com
37 	HungryOwlAll-NightGrocers 	PatriciaMcKenna 	8JohnstownRoad 	Cork 		Ireland 	HunP8Jo@gmail.com
38 	IslandTrading 	HelenBennett 	GardenHouseCrowtherWay 	Cowes 	PO317PJ 	UK 	IslHGarPO31@gmail.com
39 	KöniglichEssen 	PhilipCramer 	Maubelstr.90 	Brandenburg 	14776 	Germany 	KönPMau1477@gmail.com
40 	Lacorned'abondance 	DanielTonini 	67,avenuedel'Europe 	Versailles 	78000 	France 	LacD67,7800@gmail.com
